NAME,ALIAS,CREATION_DATE,ADDRESS,TYPE,WARD,SECTION,COMPOUND,OWNER,MANAGER,WEBSITE,FA_NUMBER,FA_TAG,DDM,DDM_TYPE,DDM_NAME,DDM_TEXT,DDM_PHOTO,CDBG,LWCF,WATER,MOWING,CORE_SERVICES,CartegraphID,ActBefore,City,ConditionGroup,County,CriticalityFactor,CurrentInspectionID,EstimatedCCI,EstimatedCCR,EstimatedOCI,EstimatedOCR,Installed,Jurisdiction,LocationDescription,Notes,PredictionGroup,Replaced,Retired,StateValue,Street,TotalCost,Acreage,Acreage_unit,ADACompliant,AddressNumber,Name1,OperationalDays,OperationalHours,Type1,CurrentInspectionDate,CurrentInspectionOCI,CurrentInspectionOCR,CurrentInspectionNotes,cgShape_Length,cgShape_Area,created_user,created_date,last_edited_user,last_edited_date,ZIP,ImpactFee,Account,Spraying,Trees,GlobalID,OBJECTID,Shape__Area,Shape__Length
Bloom Elementary School,,,8310 E Pima St,School Park,2,3,Fort Lowell,Tucson Unified School District,COT Parks and Recreation,,,,,,,,,0,,,None,3,Bloom Elementary School,,Tucson,Park Sample,,1,,,,,,,,,,Park Sample,,,,E Pima St,6876.99,6.3,,0,8310,,,,,,,,,,,tucsondata_cotgis,7/23/2024 5:02:54 AM,tucsondata_cotgis,7/23/2024 5:02:54 AM,85715,C,6383,,,977e381a-7b22-4950-be6d-32bf48e703e5,149,274632.813354492,2546.58885444095
Pima Community College Desert Vista Campus,,1994,5901 S Calle Santa Cruz,School Park,1,1,Mission Manor,Bny Western Trust Co,COT Parks and Recreation,,,,,,,,,0,,,Contractor All Inclusive,1,Pima Community College Desert Vista Campus,,Tucson,Park Sample,,1,,,,,,,,,,Park Sample,,,,S Calle Santa Cruz,18004.24,4.52,,0,5901,,,,,,,,,,,tucsondata_cotgis,7/23/2024 5:02:54 AM,tucsondata_cotgis,7/23/2024 5:02:54 AM,85706,B,6343,,,ae690dc1-1828-42e7-8da6-553b4a65c0cf,150,196788.874359131,1888.51216927152
Dunham Elementary School,,,9850 E 29th St,School Park,4,3,Jesse Owens,Tucson Unified School District,COT Parks and Recreation,,,,,,,,,0,,,None,3,Dunham Elementary School,,Tucson,Park Sample,,1,,,,,,,,,,Park Sample,,,,E 29th St,2937.08,5.8,,0,9850,,,,,,,,,,,tucsondata_cotgis,7/23/2024 5:02:54 AM,tucsondata_cotgis,7/23/2024 5:02:54 AM,85748,C,6383,,,3860ca8e-392c-406f-9dc9-0fca68518223,151,252612.586212158,2345.22728118709
Hudlow Elementary School,,,502 N Caribe Av,School Park,2,3,Jesse Owens,Tucson Unified School District,COT Parks and Recreation,,,,,,,,,0,,,None,3,Hudlow Elementary School,,Tucson,Park Sample,,1,,,,,,,,,,Park Sample,,,,N Caribe Av,2744.6,5.31,,0,502,,,,,,,,,,,tucsondata_cotgis,7/23/2024 5:02:54 AM,tucsondata_cotgis,7/23/2024 5:02:54 AM,85710,C,6383,,,5ffb7624-67fd-4618-a8b3-3114d15426bd,152,231410.962677002,2691.79471482424
Menlo Park Elementary School,,,1100 W Fresno St,School Park,1,2,Santa Rita,Tucson Unified School District,COT Parks and Recreation,,,,,,,,,0,,,Contractor Mow Only,0,Menlo Park Elementary School,,Tucson,Park Sample,,1,,,,,,,,,,Park Sample,,,,W Fresno St,2840.36,3.13,,0,1100,,,,,,,,,,,tucsondata_cotgis,7/23/2024 5:02:54 AM,tucsondata_cotgis,7/23/2024 5:02:54 AM,85745,B,6342,,,722e59b1-e688-4cc0-aa97-92630b2c4a95,153,136189.522216797,1606.05506774301
Saint John's School Park,,,602 W Ajo Wy,School Park,1,1,Kennedy,St. John the Evangelist Roman Catholic Parish,COT Parks and Recreation,,,,,,,,,0,,,Contractor All Inclusive,7,Saint John's School Park,,Tucson,Park Sample,,1,,,,,,,,,,Park Sample,,,,W Ajo Wy,52471.54,4.18,,0,602,,,,,,,,,,,tucsondata_cotgis,7/23/2024 5:02:54 AM,tucsondata_cotgis,7/23/2024 5:02:54 AM,85713,B,6343,,,db493aeb-7e07-4ea5-af2d-f9b9fd2dda3d,154,182240.675354004,2153.25016552169
C.E. Rose K-8 School,,,710 W Michigan St,School Park,1,1,Mission Manor,Tucson Unified School District,COT Parks and Recreation,,,,,,,,,0,,,None,1,C.E. Rose K-8 School,,Tucson,Park Sample,,1,,,,,,,,,,Park Sample,,,,W Michigan St,3068.99,6.05,,0,710,,,,,,,,,,,tucsondata_cotgis,7/23/2024 5:02:54 AM,tucsondata_cotgis,7/23/2024 5:02:54 AM,85714,B,6343,,,fe2aef29-b5b9-41f5-918a-ae5b0c80401a,155,393802.834136963,4030.14651513476
CSM Martin R. Gunny Barreras Memorial Park,Sunnyside Park,2023,5890 S Campbell Av,Community Park,5,1,Mission Manor,Sunnyside Unified School District,COT Parks and Recreation,https://www.tucsonaz.gov/Departments/Parks-and-Recreation/Parks/CSM-Martin-R.-Gunny-Barreras-Memorial-Park,,,1,Park Name,CSM Martin R. ""Gunny"" Barreras,,,0,1,Potable and Reclaimed,Contractor Mow Only,7,CSM Martin R. Gunny Barreras Memorial Park,4/17/2020 12:00:00 AM,Tucson,Park Sample,,1,2,57.4,Average,22.4,Fair,,,S Campbell Av between Drexel and Bilby,,Park Sample,,,,S Campbell Av,98352.98,19.64,,0,5890,,,,,4/17/2020 12:00:00 AM,26.67,Fair,,,,tucsondata_cotgis,7/23/2024 5:02:54 AM,tucsondata_cotgis,7/23/2024 5:02:54 AM,85706,B,6343,,,98a929e3-7c5c-44e0-8a21-71cb44194eeb,156,855672.454193115,4397.08882073541
Booth-Fickett Math & Science K-8,,,450 S Montego Dr,School Park,2,3,Jesse Owens,Tucson Unified School District,COT Parks and Recreation,,,,,,,,,0,,,Contractor Mow Only,1,Booth-Fickett Math & Science K-8,,Tucson,Park Sample,,1,,,,,,,,,,Park Sample,,,,S Montego Dr,11947.2,4.54,,0,450,,,,,,,,,,,tucsondata_cotgis,7/23/2024 5:02:54 AM,tucsondata_cotgis,7/23/2024 5:02:54 AM,85710,C,6383,,,b0fa7284-83e7-4a78-a3a0-9194f67d998d,157,197646.712371826,1774.69808636457
Wakefield Middle School,,,101 W 44th St,School Park,1,1,Kennedy,Tucson Unified School District,COT Parks and Recreation,,,,,,,,,0,,,Contractor Mow Only,1,Wakefield Middle School,,Tucson,Park Sample,,1,,,,,,,,,,Park Sample,,,,W 44th St,8873.12,5.01,,0,101,,,,,,,,,,,tucsondata_cotgis,7/23/2024 5:02:54 AM,tucsondata_cotgis,7/23/2024 5:02:54 AM,85713,B,6343,,,d8bff910-5f33-468b-a80f-c1d75edd6508,158,218238.574554443,2031.68006023294
